shift_id,staff_id,dept_id,date_id,shift_date,shift_type,hours_worked,overtime_hrs,patients_attended,absent_flag
SHF0051,STF010,DEPT03,DT20240701,2024-07-01,Night,8.2,0.2,9,False
SHF0052,STF035,DEPT07,DT20240819,2024-08-19,Night,10.1,2.1,8,False
SHF0053,STF006,DEPT01,DT20240402,2024-04-02,Morning,8.0,0.0,11,False
SHF0054,STF034,DEPT09,DT20240611,2024-06-11,Evening,9.9,1.9,9,False
SHF0055,STF010,DEPT07,DT20240502,2024-05-02,Morning,8.0,0.0,11,False
SHF0056,STF023,DEPT10,DT20240725,2024-07-25,Night,10.0,2.0,5,False
SHF0057,STF004,DEPT05,DT20240519,2024-05-19,Night,8.1,0.1,8,False
SHF0058,STF017,DEPT05,DT20240613,2024-06-13,Morning,10.0,2.0,8,False
SHF0059,STF010,DEPT01,DT20240204,2024-02-04,Night,9.3,1.3,10,False
SHF0060,STF006,DEPT06,DT20241003,2024-10-03,Morning,8.0,0.0,10,False
SHF0061,STF032,DEPT01,DT20240122,2024-01-22,Night,8.3,0.3,7,False
SHF0062,STF031,DEPT07,DT20241214,2024-12-14,Morning,0.0,0.0,0,True
SHF0063,STF035,DEPT09,DT20240316,2024-03-16,Evening,8.6,0.6,8,False
SHF0064,STF035,DEPT03,DT20240715,2024-07-15,Night,9.6,1.6,12,False
SHF0065,STF035,DEPT02,DT20240314,2024-03-14,Night,8.0,0.0,10,False
SHF0066,STF013,DEPT03,DT20240315,2024-03-15,Evening,9.9,1.9,10,False
SHF0067,STF030,DEPT01,DT20240303,2024-03-03,Evening,8.0,0.0,9,False
SHF0068,STF030,DEPT01,DT20240312,2024-03-12,Evening,0.0,0.0,0,True
SHF0069,STF003,DEPT06,DT20241007,2024-10-07,Night,10.4,2.4,9,False
SHF0070,STF005,DEPT06,DT20241201,2024-12-01,Evening,9.4,1.4,8,False
SHF0071,STF013,DEPT01,DT20241002,2024-10-02,Evening,9.2,1.2,11,False
SHF0072,STF040,DEPT03,DT20240602,2024-06-02,Evening,9.4,1.4,10,False
SHF0073,STF019,DEPT01,DT20240709,2024-07-09,Morning,8.4,0.4,11,False
SHF0074,STF032,DEPT02,DT20240810,2024-08-10,Morning,10.0,2.0,9,False
SHF0075,STF008,DEPT04,DT20241122,2024-11-22,Night,8.0,0.0,12,False
SHF0076,STF011,DEPT08,DT20241215,2024-12-15,Morning,9.5,1.5,8,False
SHF0077,STF007,DEPT07,DT20241121,2024-11-21,Morning,8.0,0.0,10,False
SHF0078,STF021,DEPT08,DT20240815,2024-08-15,Night,10.0,2.0,4,False
SHF0079,STF024,DEPT06,DT20240506,2024-05-06,Evening,9.9,1.9,5,False
SHF0080,STF006,DEPT08,DT20240428,2024-04-28,Night,8.9,0.9,9,False
SHF0081,STF033,DEPT05,DT20240705,2024-07-05,Evening,10.2,2.2,10,False
SHF0082,STF028,DEPT07,DT20240609,2024-06-09,Evening,8.0,0.0,4,False
SHF0083,STF006,DEPT04,DT20240127,2024-01-27,Night,0.0,0.0,0,True
SHF0084,STF040,DEPT07,DT20241216,2024-12-16,Evening,0.0,0.0,0,True
SHF0085,STF034,DEPT05,DT20240406,2024-04-06,Evening,8.0,0.0,6,False
SHF0086,STF025,DEPT02,DT20240430,2024-04-30,Night,0.0,0.0,0,True
SHF0087,STF014,DEPT09,DT20241119,2024-11-19,Morning,8.0,0.0,11,False
SHF0088,STF026,DEPT01,DT20241017,2024-10-17,Morning,9.6,1.6,4,False
SHF0089,STF017,DEPT04,DT20240813,2024-08-13,Night,8.0,0.0,12,False
SHF0090,STF003,DEPT03,DT20241122,2024-11-22,Evening,8.6,0.6,10,False
SHF0091,STF021,DEPT09,DT20240902,2024-09-02,Morning,8.1,0.1,5,False
SHF0092,STF017,DEPT07,DT20240114,2024-01-14,Evening,11.4,3.4,12,False
SHF0093,STF026,DEPT07,DT20241116,2024-11-16,Morning,11.7,3.7,8,False
SHF0094,STF017,DEPT10,DT20240206,2024-02-06,Evening,11.8,3.8,10,False
SHF0095,STF034,DEPT03,DT20240728,2024-07-28,Evening,0.0,0.0,0,True
SHF0096,STF010,DEPT03,DT20240808,2024-08-08,Morning,0.0,0.0,0,True
SHF0097,STF029,DEPT05,DT20240808,2024-08-08,Night,9.6,1.6,10,False
SHF0098,STF026,DEPT10,DT20241026,2024-10-26,Morning,8.6,0.6,4,False
SHF0099,STF018,DEPT04,DT20240701,2024-07-01,Night,9.9,1.9,12,False
SHF0100,STF017,DEPT01,DT20240116,2024-01-16,Night,8.1,0.1,9,False
SHF0101,STF010,DEPT10,DT20240910,2024-09-10,Evening,8.0,0.0,8,False
SHF0102,STF005,DEPT01,DT20240126,2024-01-26,Evening,10.5,2.5,9,False
SHF0103,STF028,DEPT02,DT20240827,2024-08-27,Night,8.0,0.0,7,False
SHF0104,STF039,DEPT08,DT20240721,2024-07-21,Evening,9.1,1.1,11,False
SHF0105,STF017,DEPT05,DT20240127,2024-01-27,Night,8.0,0.0,12,False
SHF0106,STF026,DEPT02,DT20240722,2024-07-22,Evening,9.1,1.1,7,False
SHF0107,STF007,DEPT07,DT20241028,2024-10-28,Night,0.0,0.0,0,True
SHF0108,STF008,DEPT08,DT20240629,2024-06-29,Evening,9.1,1.1,9,False
SHF0109,STF022,DEPT01,DT20240813,2024-08-13,Morning,8.6,0.6,9,False
SHF0110,STF016,DEPT05,DT20240408,2024-04-08,Morning,9.5,1.5,15,False
SHF0111,STF020,DEPT04,DT20241031,2024-10-31,Evening,8.0,0.0,11,False
SHF0112,STF007,DEPT04,DT20241115,2024-11-15,Evening,8.5,0.5,11,False
SHF0113,STF024,DEPT06,DT20241202,2024-12-02,Night,0.0,0.0,0,True
SHF0114,STF028,DEPT04,DT20241122,2024-11-22,Night,0.0,0.0,0,True
SHF0115,STF005,DEPT01,DT20241225,2024-12-25,Morning,0.0,0.0,0,True
SHF0116,STF016,DEPT06,DT20240704,2024-07-04,Morning,9.0,1.0,8,False
SHF0117,STF002,DEPT10,DT20240605,2024-06-05,Night,8.0,0.0,11,False
SHF0118,STF033,DEPT05,DT20240916,2024-09-16,Night,9.4,1.4,6,False
SHF0119,STF017,DEPT02,DT20241125,2024-11-25,Evening,8.1,0.1,12,False
SHF0120,STF038,DEPT05,DT20240714,2024-07-14,Night,0.0,0.0,0,True
SHF0121,STF004,DEPT01,DT20240909,2024-09-09,Night,8.8,0.8,14,False
SHF0122,STF019,DEPT09,DT20240312,2024-03-12,Night,8.0,0.0,8,False
SHF0123,STF036,DEPT08,DT20241001,2024-10-01,Evening,8.0,0.0,6,False
SHF0124,STF009,DEPT01,DT20240508,2024-05-08,Evening,8.7,0.7,12,False
SHF0125,STF020,DEPT02,DT20240321,2024-03-21,Night,10.2,2.2,11,False
SHF0126,STF011,DEPT10,DT20240410,2024-04-10,Evening,8.4,0.4,14,False
SHF0127,STF018,DEPT05,DT20240212,2024-02-12,Night,9.4,1.4,12,False
SHF0128,STF036,DEPT10,DT20240819,2024-08-19,Evening,9.3,1.3,7,False
SHF0129,STF031,DEPT03,DT20240829,2024-08-29,Morning,8.2,0.2,9,False
SHF0130,STF026,DEPT02,DT20241118,2024-11-18,Evening,0.0,0.0,0,True
SHF0131,STF016,DEPT03,DT20240907,2024-09-07,Evening,8.2,0.2,13,False
SHF0132,STF027,DEPT01,DT20241023,2024-10-23,Morning,9.4,1.4,5,False
SHF0133,STF021,DEPT02,DT20240623,2024-06-23,Night,8.0,0.0,5,False
SHF0134,STF030,DEPT06,DT20240126,2024-01-26,Morning,9.7,1.7,10,False
SHF0135,STF022,DEPT03,DT20240415,2024-04-15,Evening,10.6,2.6,7,False
SHF0136,STF033,DEPT02,DT20240605,2024-06-05,Morning,9.1,1.1,10,False
SHF0137,STF012,DEPT01,DT20241221,2024-12-21,Morning,8.2,0.2,10,False
SHF0138,STF020,DEPT08,DT20240606,2024-06-06,Evening,8.0,0.0,11,False
SHF0139,STF023,DEPT06,DT20241123,2024-11-23,Morning,0.0,0.0,0,True
SHF0140,STF035,DEPT02,DT20241104,2024-11-04,Night,0.0,0.0,0,True
SHF0141,STF005,DEPT04,DT20241016,2024-10-16,Morning,8.1,0.1,10,False
SHF0142,STF032,DEPT02,DT20240130,2024-01-30,Evening,9.1,1.1,6,False
SHF0143,STF032,DEPT01,DT20241025,2024-10-25,Evening,8.2,0.2,10,False
SHF0144,STF037,DEPT10,DT20241228,2024-12-28,Evening,8.0,0.0,9,False
SHF0145,STF013,DEPT05,DT20240215,2024-02-15,Morning,9.4,1.4,11,False
SHF0146,STF031,DEPT08,DT20240901,2024-09-01,Morning,8.0,0.0,11,False
SHF0147,STF016,DEPT09,DT20240828,2024-08-28,Evening,8.9,0.9,11,False
SHF0148,STF003,DEPT09,DT20240810,2024-08-10,Evening,8.2,0.2,8,False
SHF0149,STF030,DEPT01,DT20240105,2024-01-05,Night,0.0,0.0,0,True
SHF0150,STF033,DEPT09,DT20240520,2024-05-20,Evening,9.1,1.1,7,False
SHF0151,STF019,DEPT06,DT20240928,2024-09-28,Morning,11.2,3.2,8,False
SHF0152,STF021,DEPT03,DT20240731,2024-07-31,Evening,9.4,1.4,11,False
SHF0153,STF035,DEPT09,DT20241104,2024-11-04,Night,8.1,0.1,9,False
SHF0154,STF013,DEPT03,DT20240406,2024-04-06,Evening,10.3,2.3,12,False
SHF0155,STF002,DEPT05,DT20240628,2024-06-28,Night,0.0,0.0,0,True
SHF0156,STF019,DEPT09,DT20240818,2024-08-18,Evening,0.0,0.0,0,True
SHF0157,STF027,DEPT04,DT20241230,2024-12-30,Evening,8.0,0.0,5,False
SHF0158,STF037,DEPT01,DT20241227,2024-12-27,Night,8.0,0.0,6,False
SHF0159,STF022,DEPT01,DT20240606,2024-06-06,Evening,8.0,0.0,4,False
SHF0160,STF025,DEPT10,DT20240628,2024-06-28,Morning,8.0,0.0,7,False
SHF0161,STF025,DEPT09,DT20240501,2024-05-01,Morning,8.0,0.0,4,False
SHF0162,STF008,DEPT02,DT20240301,2024-03-01,Morning,8.0,0.0,12,False
SHF0163,STF025,DEPT01,DT20240518,2024-05-18,Morning,8.4,0.4,7,False
SHF0164,STF019,DEPT01,DT20240530,2024-05-30,Morning,0.0,0.0,0,True
SHF0165,STF022,DEPT05,DT20240810,2024-08-10,Morning,9.4,1.4,7,False
SHF0166,STF013,DEPT01,DT20240131,2024-01-31,Night,0.0,0.0,0,True
SHF0167,STF001,DEPT02,DT20240904,2024-09-04,Morning,8.6,0.6,11,False
SHF0168,STF033,DEPT09,DT20240706,2024-07-06,Morning,8.7,0.7,9,False
SHF0169,STF037,DEPT07,DT20240519,2024-05-19,Evening,0.0,0.0,0,True
SHF0170,STF029,DEPT08,DT20240713,2024-07-13,Night,0.0,0.0,0,True
SHF0171,STF006,DEPT10,DT20240216,2024-02-16,Morning,9.8,1.8,10,False
SHF0172,STF026,DEPT01,DT20241204,2024-12-04,Evening,8.0,0.0,5,False
SHF0173,STF040,DEPT08,DT20241011,2024-10-11,Evening,8.0,0.0,6,False
SHF0174,STF023,DEPT09,DT20240922,2024-09-22,Morning,9.1,1.1,8,False
SHF0175,STF039,DEPT01,DT20241214,2024-12-14,Morning,8.0,0.0,9,False
SHF0176,STF031,DEPT02,DT20240911,2024-09-11,Evening,10.3,2.3,9,False
SHF0177,STF020,DEPT09,DT20240830,2024-08-30,Night,9.2,1.2,14,False
SHF0178,STF012,DEPT05,DT20240906,2024-09-06,Evening,8.2,0.2,13,False
SHF0179,STF032,DEPT05,DT20241022,2024-10-22,Night,0.0,0.0,0,True
SHF0180,STF026,DEPT02,DT20240725,2024-07-25,Night,8.6,0.6,8,False
SHF0181,STF019,DEPT07,DT20240725,2024-07-25,Evening,9.8,1.8,11,False
SHF0182,STF040,DEPT05,DT20240320,2024-03-20,Morning,8.0,0.0,6,False
SHF0183,STF005,DEPT05,DT20240708,2024-07-08,Night,8.3,0.3,10,False
SHF0184,STF013,DEPT04,DT20241009,2024-10-09,Night,8.0,0.0,9,False
SHF0185,STF040,DEPT03,DT20240219,2024-02-19,Night,0.0,0.0,0,True
SHF0186,STF008,DEPT05,DT20241221,2024-12-21,Night,8.6,0.6,11,False
SHF0187,STF026,DEPT07,DT20240130,2024-01-30,Night,8.6,0.6,4,False
SHF0188,STF023,DEPT08,DT20240813,2024-08-13,Night,9.5,1.5,8,False
SHF0189,STF005,DEPT06,DT20241206,2024-12-06,Morning,8.0,0.0,9,False
SHF0190,STF019,DEPT06,DT20241204,2024-12-04,Evening,8.3,0.3,9,False
SHF0191,STF030,DEPT08,DT20240221,2024-02-21,Night,9.1,1.1,10,False
SHF0192,STF036,DEPT01,DT20241210,2024-12-10,Night,8.0,0.0,10,False
SHF0193,STF029,DEPT03,DT20240316,2024-03-16,Evening,10.4,2.4,9,False
SHF0194,STF015,DEPT07,DT20240524,2024-05-24,Evening,8.2,0.2,9,False
SHF0195,STF020,DEPT08,DT20241109,2024-11-09,Evening,9.9,1.9,8,False
SHF0196,STF026,DEPT01,DT20241128,2024-11-28,Evening,9.0,1.0,7,False
SHF0197,STF008,DEPT08,DT20240829,2024-08-29,Morning,9.3,1.3,12,False
SHF0198,STF017,DEPT08,DT20240320,2024-03-20,Evening,8.9,0.9,8,False
SHF0199,STF013,DEPT01,DT20240915,2024-09-15,Night,0.0,0.0,0,True
SHF0200,STF035,DEPT08,DT20241206,2024-12-06,Evening,0.0,0.0,0,True
